Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand H,ORANGE BLEND,130,$4.99 ,130,70
Brand A,REMAINING FLAVOR,78,$3.26 ,0,28
Brand F,CHERRY,"38,804",$5.48 ,"1,655","6,886"
Brand C,PRUNE,"2,312",$8.34 ,8,990
Brand A,BERRY POMEGRANATE,41,$6.99 ,0,24
Brand N,CHERRY,476,$6.47 ,0,369
Brand A,REMAINING FLAVOR,48,$7.89 ,3,30
Brand F,CHERRY,"3,199",$6.75 ,17,"1,051"
Brand C,POMEGRANATE,980,$4.84 ,293,514
Brand A,CRANBERRY BLEND,"16,292",$5.29 ,"2,732","5,926"
Brand A,REMAINING FLAVOR,188,$4.79 ,0,93
Brand C,CHERRY,298,$6.83 ,208,146
Brand C,CRANBERRY,"4,153",$11.03 ,0,"1,222"
Brand C,ORANGE BLEND,0,,0,
Brand F,ORANGE BLEND,"2,027",$3.94 ,135,629
Brand A,CRANBERRY,111,$10.92 ,111,64
Brand A,GRAPEFRUIT,57,$7.07 ,0,36
Brand A,BERRY POMEGRANATE,366,$5.79 ,16,193
Brand A,CRANBERRY BLEND,46,$3.98 ,46,19
Brand L,REMAINING FLAVOR,1,$5.79 ,0,1
Brand I,REMAINING FLAVOR,"1,095",$7.38 ,313,611
Brand C,ORANGE,"3,247",$7.05 ,326,"1,225"
Brand I,REMAINING FLAVOR,36,$6.99 ,0,36
Brand I,POMEGRANATE,"2,086",$7.25 ,115,891
Brand E,CHERRY,164,$7.80 ,75,67
Brand F,PRUNE,2,$6.79 ,0,2
Brand A,CHERRY,889,$8.72 ,23,509
Brand A,REMAINING FLAVOR,"12,972",$5.12 ,"1,650","5,422"
Brand I,REMAINING FLAVOR,0,,0,
Brand G,CRANBERRY BLEND,820,$8.01 ,60,516
Brand I,POMEGRANATE,0,,0,
Brand M,REMAINING FLAVOR,1,$4.99 ,0,1
Brand C,REMAINING FLAVOR,115,$8.10 ,0,65.0
Brand F,ORANGE BLEND,"2,167",$3.17 ,285,444.0
Brand F,TOMATO JUICE,"1,653",$3.25 ,294,846
Brand A,REMAINING FLAVOR,"12,413",$6.07 ,"3,556","4,863"
Brand C,REMAINING FLAVOR,"5,337",$5.87 ,"5,337",501.0
Brand B,BLUEBERRY,65,$6.19 ,0,45
Brand A,REMAINING FLAVOR,38,$6.99 ,0,24
Brand A,REMAINING FLAVOR,106,$2.99 ,106,51
Brand K,REMAINING FLAVOR,135,$8.32 ,7,110
Brand M,REMAINING FLAVOR,3,$4.62 ,0,3
Brand H,ORANGE BLEND,381,$5.84 ,0,139
Brand A,GRAPE,10,$6.49 ,0,7
Brand B,CHERRY,257,$6.33 ,0,94
Brand F,CHERRY,0,,0,
