Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand C,REMAINING FLAVOR,"7,898",$7.07 ,"4,346","2,330"
Brand C,ORANGE BLEND,328,$7.52 ,0,182
Brand I,POMEGRANATE,252,$6.86 ,39,97
Brand L,REMAINING FLAVOR,30,$3.99 ,0,14
Brand A,TOMATO JUICE,38,$4.32 ,4,22
Brand M,REMAINING FLAVOR,17,$5.42 ,0,17
Brand L,REMAINING FLAVOR,792,$5.62 ,246,352.0
Brand C,REMAINING FLAVOR,296,$5.99 ,296,100
Brand D,CHERRY,136,$6.98 ,0,77
Brand A,PINEAPPLE,248,$7.28 ,0,130.0
Brand C,CARROT,223,$8.09 ,0,102
Brand L,REMAINING FLAVOR,1,$5.29 ,0,1
Brand J,CHERRY,"2,564",$5.60 ,17,"1,002"
Brand C,REMAINING FLAVOR,355,$8.21 ,266,199
Brand A,REMAINING FLAVOR,0,,0,
Brand L,MANGO,559,$4.66 ,148,149
Brand L,PEACH,253,$5.50 ,0,103
Brand H,FRUIT PUNCH,129,$6.12 ,8,89.0
Brand F,REMAINING FLAVOR,0,,0,
Brand F,CHERRY,"7,161",$5.07 ,"1,511","1,795"
Brand C,REMAINING FLAVOR,198,$8.99 ,0,91
Brand L,REMAINING FLAVOR,9,$4.99 ,0,5
Brand H,GRAPE,"1,046",$4.61 ,892,412
Brand A,TROPICAL,236,$4.80 ,17,184
Brand L,MANGO,1,$4.99 ,0,1
Brand F,CHERRY,"2,979",$5.52 ,412,"1,300"
Brand A,ORANGE BLEND,109,$7.83 ,109,55
Brand C,REMAINING FLAVOR,362,$7.75 ,0,118
Brand M,MANGO,"1,264",$5.80 ,204,639
Brand K,REMAINING FLAVOR,127,$7.97 ,41,102
Brand C,REMAINING FLAVOR,101,$8.00 ,0,54
Brand A,TOMATO JUICE,"1,217",$5.43 ,13,384.0
Brand C,POMEGRANATE,2,$9.99 ,0,1
Brand A,REMAINING FLAVOR,"4,263",$4.37 ,"1,359","1,799"
Brand D,CHERRY,40,$7.96 ,40,29
Brand L,REMAINING FLAVOR,428,$4.73 ,56,131
Brand A,REMAINING FLAVOR,595,$5.24 ,0,380
Brand C,REMAINING FLAVOR,70,$6.35 ,2,40
Brand A,PRUNE,462,$6.65 ,462,208
Brand D,CHERRY,214,$5.50 ,94,162
Brand C,CRANBERRY BLEND,1,$8.99 ,1,1
Brand A,CHERRY,"1,384",$6.46 ,35,783
Brand A,REMAINING FLAVOR,70,$5.47 ,2,35
Brand E,CRANBERRY,365,$5.46 ,238,99
Brand A,PINEAPPLE,766,$8.69 ,51,444
Brand A,CARROT,303,$6.14 ,90,227
Brand A,CRANBERRY,"2,188",$9.03 ,54,966
Brand A,FRUIT PUNCH,5,$4.39 ,0,4
Brand A,TOMATO JUICE,0,,0,
Brand C,ORANGE,941,$5.95 ,76,514
Brand L,MANGO,1,$5.19 ,0,1
Brand M,REMAINING FLAVOR,"1,680",$5.04 ,0,845
Brand A,REMAINING FLAVOR,14,$4.59 ,0,4
Brand C,POMEGRANATE,22,$7.45 ,0,17
Brand A,BERRY POMEGRANATE,5,$6.09 ,0,2
Brand A,CHERRY,231,$9.41 ,205,89
Brand C,ORANGE BLEND,351,$7.53 ,0,193.0
Brand F,CHERRY,35,$0.01 ,0,10
Brand C,BLUEBERRY,58,$10.37 ,58,37
Brand C,CHERRY,87,$6.99 ,0,46
Brand C,REMAINING FLAVOR,229,$6.99 ,0,95
Brand H,CRANBERRY BLEND,85,$3.59 ,63,46
Brand C,CRANBERRY,178,$10.94 ,178,98
Brand D,CHERRY,17,$2.01 ,0,4
Brand A,POMEGRANATE,129,$9.99 ,0,79
Brand F,REMAINING FLAVOR,236,$5.44 ,0,132
Brand H,ORANGE BLEND,"1,683",$4.81 ,0,824
Brand C,REMAINING FLAVOR,0,,0,
Brand C,ORANGE,733,$7.25 ,360,448
Brand C,PRUNE,122,$6.21 ,5,69
Brand A,REMAINING FLAVOR,292,$4.71 ,0,158
Brand F,PRUNE,"2,458",$3.91 ,398,827
Brand A,REMAINING FLAVOR,11,$5.96 ,0,7
Brand C,REMAINING FLAVOR,"1,065",$6.20 ,819,235
Brand F,CHERRY,"14,519",$0.99 ,"1,003","4,618"
Brand A,GRAPE,"1,608",$7.97 ,"1,581",742
Brand A,CRANBERRY,0,,0,
Brand A,CRANBERRY,323,$10.87 ,4,140
Brand C,ORANGE BLEND,"1,075",$8.34 ,50,643
Brand A,BERRY POMEGRANATE,530,$4.91 ,389,246
Brand A,REMAINING FLAVOR,675,$3.92 ,241,272
Brand M,REMAINING FLAVOR,2,$4.99 ,0,2
Brand H,ORANGE BLEND,258,$4.63 ,15,109
Brand C,MANGO,"1,078",$8.09 ,"1,072",396.0
Brand C,CARROT,"2,060",$6.86 ,"2,060",845
Brand A,GRAPE,12,$6.49 ,0,7
Brand A,REMAINING FLAVOR,"1,868",$5.94 ,811,945
Brand A,GRAPE,189,$7.31 ,0,127
Brand D,CHERRY,262,$5.47 ,241,128
Brand G,CHERRY,6,$6.49 ,0,1.0
Brand A,REMAINING FLAVOR,273,$8.60 ,15,160
Brand A,REMAINING FLAVOR,"1,423",$6.59 ,0,435
Brand C,ORANGE,356,$9.09 ,27,279
Brand C,MANGO,"1,101",$6.52 ,511,629
Brand A,REMAINING FLAVOR,535,$4.72 ,20,227
Brand A,CRANBERRY,146,$12.96 ,0,85
Brand F,CHERRY,"39,541",$5.48 ,"1,565","7,293"
Brand B,CHERRY,"2,870",$6.06 ,823,"1,128"
Brand A,CARROT,37,$9.66 ,7,25
Brand L,MANGO,1,$4.99 ,0,1.0
Brand D,CHERRY,"2,266",$6.79 ,182,"1,168"
Brand I,REMAINING FLAVOR,5,$8.64 ,0,3
Brand C,PRUNE,339,$7.98 ,0,263
Brand D,CHERRY,0,,0,
Brand A,REMAINING FLAVOR,"1,819",$6.94 ,0,453.0
Brand A,PINEAPPLE,198,$6.29 ,0,83
Brand C,CHERRY,"1,121",$11.05 ,213,497
Brand H,GRAPE,31,$4.86 ,0,23
Brand A,GRAPE,"1,368",$8.00 ,0,684
Brand A,REMAINING FLAVOR,666,$4.62 ,14,446
Brand A,PINEAPPLE,6,$3.24 ,0,1
Brand H,CRANBERRY BLEND,225,$5.25 ,89,176
Brand E,REMAINING FLAVOR,0,,0,
Brand A,CRANBERRY BLEND,3,$4.59 ,0,1
Brand C,POMEGRANATE,"1,818",$14.27 ,0,447
Brand C,ORANGE BLEND,14,$5.40 ,0,10
Brand A,CRANBERRY BLEND,"1,140",$5.81 ,0,564
Brand C,REMAINING FLAVOR,42,$4.26 ,35,28
Brand F,PRUNE,"5,555",$6.04 ,446,"1,760"
Brand L,REMAINING FLAVOR,37,$5.02 ,0,11
Brand E,REMAINING FLAVOR,943,$7.20 ,75,609
Brand C,REMAINING FLAVOR,170,$9.61 ,112,95
Brand F,CRANBERRY,1,$7.99 ,0,1
Brand G,CHERRY,"1,208",$8.24 ,153,842
Brand C,CHERRY,263,$7.92 ,0,119
Brand I,CHERRY,"2,266",$4.97 ,"2,259",718
Brand C,REMAINING FLAVOR,19,$7.39 ,0,10
Brand A,REMAINING FLAVOR,158,$4.99 ,0,83
Brand F,TOMATO JUICE,"1,342",$2.32 ,856,590
Brand A,CRANBERRY,205,$12.23 ,16,114
Brand A,REMAINING FLAVOR,258,$7.47 ,17,103.0
Brand A,REMAINING FLAVOR,1,$8.19 ,0,1
Brand A,REMAINING FLAVOR,758,$4.60 ,54,488
Brand I,POMEGRANATE,"2,033",$7.44 ,97,938
Brand A,REMAINING FLAVOR,299,$5.96 ,0,121
Brand A,REMAINING FLAVOR,"11,220",$6.36 ,787,"4,817"
Brand A,REMAINING FLAVOR,554,$3.97 ,17,371
Brand L,PEACH,8,$4.99 ,0,2
Brand A,POMEGRANATE,95,$11.98 ,27,85
Brand C,CHERRY,"7,527",$6.90 ,"4,918","3,232"
Brand L,MANGO,19,$5.02 ,0,11
Brand A,PRUNE,6,$8.49 ,0,2
Brand N,TROPICAL,"4,838",$4.35 ,679,"2,391"
Brand A,REMAINING FLAVOR,67,$6.64 ,52,44
Brand I,REMAINING FLAVOR,186,$7.17 ,0,79
Brand C,CHERRY,921,$9.93 ,0,357
Brand C,PINEAPPLE,"6,440",$7.15 ,"3,820","2,209"
Brand A,CRANBERRY BLEND,33,$1.16 ,0,13
Brand A,REMAINING FLAVOR,484,$5.26 ,346,170
Brand L,REMAINING FLAVOR,9,$5.79 ,0,6
Brand C,ORANGE BLEND,39,$7.91 ,24,24
Brand H,ORANGE BLEND,256,$4.67 ,0,110
Brand F,REMAINING FLAVOR,951,$5.51 ,0,238
Brand F,REMAINING FLAVOR,"3,379",$5.46 ,387,"1,237"
Brand F,REMAINING FLAVOR,757,$5.44 ,0,211
Brand C,PRUNE,621,$11.50 ,6,364
Brand C,PRUNE,818,$8.99 ,47,340.0
Brand A,POMEGRANATE,286,$8.62 ,0,148
Brand A,REMAINING FLAVOR,135,$4.06 ,120,57
Brand H,ORANGE BLEND,"1,669",$4.81 ,0,783
Brand A,REMAINING FLAVOR,653,$2.51 ,10,129
Brand C,ORANGE,129,$9.16 ,72,79.0
Brand A,CARROT,2,$4.26 ,0,2
Brand A,TOMATO JUICE,44,$4.99 ,0,26
Brand J,CRANBERRY,728,$5.77 ,0,180
Brand C,CHERRY,532,$5.99 ,532,156
Brand A,BERRY POMEGRANATE,515,$5.01 ,293,235
Brand F,REMAINING FLAVOR,528,$9.04 ,0,346
Brand A,PRUNE,68,$7.71 ,15,23
Brand C,CARROT,"1,238",$8.74 ,69,414
Brand C,REMAINING FLAVOR,206,$8.33 ,196,86
Brand I,REMAINING FLAVOR,975,$7.67 ,177,618
Brand C,REMAINING FLAVOR,3,$9.39 ,0,2
Brand A,PRUNE,812,$9.73 ,733,484
Brand C,CHERRY,172,$9.48 ,0,57
Brand J,CRANBERRY,708,$5.39 ,0,154
Brand C,MANGO,188,$7.72 ,147,84
Brand H,MANGO,0,,0,
Brand I,POMEGRANATE,2,$7.49 ,0,2
Brand B,CHERRY,144,$6.27 ,28,57
Brand K,REMAINING FLAVOR,62,$7.24 ,28,46
Brand C,REMAINING FLAVOR,"2,032",$9.08 ,340,462
Brand C,CRANBERRY,180,$14.43 ,0,78
Brand A,CRANBERRY BLEND,139,$4.99 ,0,72
Brand A,BERRY POMEGRANATE,2,$6.49 ,0,1
Brand A,CRANBERRY BLEND,6,$5.29 ,0,3
Brand C,CHERRY,"3,331",$10.64 ,111,"1,116"
Brand C,CRANBERRY,358,$9.16 ,343,120
Brand C,REMAINING FLAVOR,222,$9.09 ,72,114
Brand F,POMEGRANATE,"11,667",$5.48 ,840,"4,053"
Brand C,ORANGE,731,$5.94 ,59,430
Brand I,REMAINING FLAVOR,2,$5.55 ,0,1
Brand H,GRAPE,634,$4.19 ,596,256.0
Brand A,CHERRY,418,$4.95 ,0,311
Brand A,BERRY POMEGRANATE,118,$5.99 ,33,70
Brand A,CRANBERRY,199,$11.85 ,0,111
Brand C,REMAINING FLAVOR,"1,950",$7.55 ,583,655
Brand I,REMAINING FLAVOR,27,$7.16 ,0,17
Brand M,PEACH,10,$5.29 ,0,7
Brand A,CRANBERRY,254,$8.06 ,221,114.0
Brand A,REMAINING FLAVOR,253,$6.07 ,0,124.0
Brand E,CHERRY,60,$7.41 ,11,35
Brand N,TROPICAL,5,$5.49 ,0,3.0
Brand A,TOMATO JUICE,36,$3.48 ,36,17
Brand C,REMAINING FLAVOR,2,$4.99 ,0,1
Brand A,MANGO,1,$4.69 ,0,1
Brand C,CRANBERRY BLEND,1,$3.09 ,0,1
Brand C,ORANGE,453,$4.55 ,453,171
Brand A,CRANBERRY BLEND,"1,596",$5.22 ,344,658
Brand L,REMAINING FLAVOR,"2,607",$4.62 ,"1,345","1,054"
Brand A,REMAINING FLAVOR,818,$7.64 ,200,593
Brand A,CARROT,1,$5.69 ,0,1
Brand J,CHERRY,412,$5.43 ,0,175
Brand A,CHERRY,326,$9.06 ,326,126
Brand C,CRANBERRY,"1,797",$11.47 ,101,465.0
Brand C,CHERRY,208,$6.99 ,0,57
Brand A,CRANBERRY,620,$9.31 ,44,425
Brand C,REMAINING FLAVOR,152,$5.29 ,56,85
Brand A,REMAINING FLAVOR,591,$7.43 ,0,245.0
Brand F,PRUNE,"5,416",$6.00 ,422,"1,733"
Brand I,REMAINING FLAVOR,63,$7.85 ,0,40
Brand A,CRANBERRY,679,$8.23 ,160,286.0
Brand C,CHERRY,826,$6.01 ,0,477
Brand C,CARROT,385,$5.97 ,4,176
Brand F,CRANBERRY,"3,101",$6.92 ,708,710
Brand F,CRANBERRY,0,,0,
Brand C,CHERRY,327,$6.12 ,81,148.0
Brand C,ORANGE,21,$9.08 ,6,18
Brand A,REMAINING FLAVOR,225,$7.33 ,0,116
Brand H,GRAPE,45,$5.99 ,0,22
Brand F,ORANGE BLEND,"2,660",$3.64 ,0,486
Brand C,BERRY POMEGRANATE,1,$5.79 ,0,1
Brand C,CARROT,612,$5.49 ,612,210
Brand C,REMAINING FLAVOR,785,$8.21 ,0,278
Brand F,TOMATO JUICE,134,$2.06 ,96,66
Brand C,MANGO,304,$5.98 ,224,154
Brand A,BLUEBERRY,27,$9.77 ,5,22
Brand N,CRANBERRY BLEND,120,$5.97 ,69,56
Brand C,REMAINING FLAVOR,87,$8.01 ,0,57
Brand C,REMAINING FLAVOR,321,$3.22 ,83,97
Brand A,REMAINING FLAVOR,322,$8.72 ,23,214
Brand E,CRANBERRY,"5,457",$6.31 ,929,"2,242"
Brand L,PEACH,42,$5.03 ,21,27
Brand A,BLUEBERRY,402,$6.22 ,383,155
Brand E,CHERRY,"1,657",$5.32 ,849,704
Brand C,REMAINING FLAVOR,12,$9.31 ,0,2
Brand A,PINEAPPLE,228,$6.91 ,13,111
Brand H,REMAINING FLAVOR,10,$5.70 ,0,7
Brand L,REMAINING FLAVOR,5,$4.69 ,0,3
Brand C,REMAINING FLAVOR,348,$6.40 ,261,189
Brand A,CHERRY,114,$7.60 ,78,65
Brand C,REMAINING FLAVOR,450,$7.28 ,105,126
Brand L,REMAINING FLAVOR,0,,0,
Brand C,BLUEBERRY,"1,108",$13.02 ,0,490
Brand A,REMAINING FLAVOR,"14,868",$4.54 ,"1,341","5,611"
Brand G,PRUNE,"1,090",$8.79 ,468,706
Brand A,REMAINING FLAVOR,35,$8.80 ,0,32
Brand D,CHERRY,95,$6.30 ,90,44
Brand A,CHERRY,2,$5.98 ,0,1
Brand H,GRAPE,"6,662",$4.45 ,"2,767","2,373"
Brand L,REMAINING FLAVOR,8,$5.00 ,0,2
Brand L,REMAINING FLAVOR,335,$4.95 ,0,99
Brand L,REMAINING FLAVOR,0,,0,
Brand A,REMAINING FLAVOR,110,$5.84 ,46,52
Brand C,CHERRY,658,$10.77 ,95,318
Brand C,CRANBERRY,176,$10.99 ,0,60
Brand M,REMAINING FLAVOR,11,$5.17 ,0,10
Brand F,CHERRY,336,$4.11 ,0,107
Brand C,PRUNE,126,$6.09 ,27,76
Brand D,CHERRY,0,,0,
Brand M,MANGO,596,$6.43 ,20,364
Brand A,PINEAPPLE,993,$6.57 ,37,585
Brand F,REMAINING FLAVOR,"2,116",$3.83 ,53,468
Brand J,GRAPEFRUIT,"1,283",$4.90 ,0,578
Brand C,CHERRY,727,$5.32 ,79,332
Brand A,MANGO,0,,0,
Brand C,POMEGRANATE,"3,916",$12.82 ,479,"1,404"
Brand F,PRUNE,"2,234",$6.65 ,0,395
Brand A,REMAINING FLAVOR,28,$3.63 ,13,24
Brand H,CHERRY,"1,314",$5.10 ,45,547
Brand C,CRANBERRY BLEND,25,$9.67 ,0,16
Brand C,REMAINING FLAVOR,346,$8.99 ,0,112
Brand A,BLUEBERRY,712,$7.92 ,277,448
Brand A,GRAPEFRUIT,10,$8.07 ,0,8
Brand A,GRAPE,252,$5.86 ,44,122
Brand C,ORANGE BLEND,332,$6.59 ,0,177.0
Brand L,PEACH,170,$5.20 ,0,65
Brand C,REMAINING FLAVOR,0,,0,
Brand F,ORANGE BLEND,"2,105",$3.78 ,199,464
Brand C,PINEAPPLE,0,,0,
Brand I,TROPICAL,"1,284",$5.20 ,"1,156",687
Brand F,PRUNE,40,$4.99 ,0,5
Brand F,POMEGRANATE,70,$6.58 ,0,29
Brand D,CHERRY,"1,033",$4.97 ,583,208
Brand E,REMAINING FLAVOR,"1,783",$5.16 ,390,879
Brand C,ORANGE,161,$9.00 ,63,100
Brand C,REMAINING FLAVOR,"1,381",$7.48 ,"1,381",226
Brand A,GRAPE,10,$6.79 ,0,6
Brand K,REMAINING FLAVOR,75,$7.76 ,9,52.0
Brand C,REMAINING FLAVOR,"3,038",$8.51 ,93,483.0
Brand A,REMAINING FLAVOR,567,$5.36 ,67,412
Brand F,CRANBERRY,0,,0,
Brand H,GRAPE,289,$4.47 ,181,111
Brand L,REMAINING FLAVOR,69,$5.14 ,43,35
Brand C,MANGO,268,$6.48 ,110,138
Brand C,CHERRY,130,$6.99 ,0,68
Brand A,TOMATO JUICE,124,$4.99 ,0,65.0
Brand A,REMAINING FLAVOR,128,$4.92 ,57,57
Brand J,GRAPEFRUIT,122,$5.00 ,122,74
Brand F,REMAINING FLAVOR,738,$9.02 ,0,478
Brand A,REMAINING FLAVOR,602,$4.97 ,0,329
Brand A,BLUEBERRY,"8,450",$8.26 ,946,"4,434"
Brand I,POMEGRANATE,15,$9.00 ,0,9
Brand A,REMAINING FLAVOR,"1,810",$8.06 ,540,"1,064"
Brand A,ORANGE BLEND,255,$5.84 ,19,191
Brand A,CHERRY,306,$5.29 ,306,96
Brand H,GRAPE,312,$3.53 ,312,85
Brand A,CHERRY,45,$7.47 ,14,30
Brand A,REMAINING FLAVOR,1,$4.19 ,0,1
Brand A,CRANBERRY,991,$6.83 ,87,555
Brand C,ORANGE BLEND,21,$7.54 ,0,13
Brand A,GRAPE,0,,0,
Brand C,REMAINING FLAVOR,1,$7.59 ,0,1
Brand F,PRUNE,"2,353",$3.95 ,154,854
Brand G,CRANBERRY BLEND,75,$8.03 ,23,49
Brand L,REMAINING FLAVOR,"1,506",$4.40 ,"1,506",437.0
Brand F,PRUNE,"3,302",$3.46 ,96,"1,469"
Brand F,TOMATO JUICE,27,$2.27 ,0,12
Brand A,PINEAPPLE,"19,580",$6.39 ,"6,908","6,156"
Brand C,GRAPE,118,$7.69 ,17,60
Brand C,CARROT,208,$6.88 ,0,160
Brand A,REMAINING FLAVOR,521,$4.63 ,131,245
Brand H,GRAPE,42,$5.99 ,0,22
Brand C,CRANBERRY,279,$13.06 ,0,86
Brand C,REMAINING FLAVOR,190,$7.81 ,64,147
Brand C,ORANGE,535,$5.79 ,535,189
Brand A,REMAINING FLAVOR,"1,733",$6.41 ,0,786
Brand A,CHERRY,"1,595",$4.59 ,284,850
Brand C,POMEGRANATE,13,$10.21 ,0,5
Brand A,GRAPE,526,$5.90 ,0,189
Brand L,REMAINING FLAVOR,16,$4.90 ,0,10
Brand F,CRANBERRY,"12,016",$5.48 ,"2,074","2,059"
Brand A,GRAPE,48,$8.44 ,0,28
Brand C,PINEAPPLE,0,,0,
Brand C,MANGO,78,$7.72 ,0,54.0
Brand A,BLUEBERRY,153,$8.50 ,0,70
Brand H,GRAPE,42,$5.25 ,0,14
Brand I,POMEGRANATE,571,$7.89 ,39,392
Brand A,REMAINING FLAVOR,144,$4.99 ,0,80
Brand L,REMAINING FLAVOR,35,$5.88 ,0,18
Brand C,CHERRY,121,$5.91 ,24,67
Brand E,CHERRY,"2,535",$5.53 ,93,495
Brand D,CHERRY,2,$6.99 ,0,1.0
Brand A,BLUEBERRY,188,$10.73 ,17,128
Brand C,CHERRY,116,$6.99 ,0,66
Brand A,REMAINING FLAVOR,179,$3.91 ,0,69
Brand C,REMAINING FLAVOR,103,$8.00 ,0,63
Brand A,CHERRY,4,$5.29 ,0,1
Brand A,POMEGRANATE,662,$8.29 ,437,373
Brand A,REMAINING FLAVOR,"2,560",$8.32 ,"2,540",996
Brand L,REMAINING FLAVOR,213,$4.96 ,100,113
Brand I,TROPICAL,572,$7.94 ,0,422
Brand C,REMAINING FLAVOR,118,$9.99 ,0,46
Brand H,GRAPE,2,$3.17 ,0,1
Brand A,PRUNE,198,$8.19 ,152,100
Brand C,PRUNE,76,$11.39 ,0,49.0
Brand A,PINEAPPLE,684,$6.63 ,248,387
Brand M,MANGO,619,$4.77 ,617,307
Brand A,CHERRY,507,$7.00 ,0,195
Brand M,REMAINING FLAVOR,0,,0,
Brand A,GRAPEFRUIT,4,$6.06 ,0,3
Brand F,CRANBERRY BLEND,"6,273",$5.93 ,534,"1,332"
Brand F,REMAINING FLAVOR,454,$9.01 ,0,287
Brand C,ORANGE BLEND,"1,334",$7.12 ,93,825
Brand A,CHERRY,229,$8.77 ,35,89
Brand A,REMAINING FLAVOR,"2,408",$6.19 ,15,875
Brand L,MANGO,3,$4.50 ,0,1.0
Brand K,CHERRY,94,$7.99 ,0,56.0
Brand C,CRANBERRY BLEND,168,$7.92 ,0,112.0
Brand F,CHERRY,402,$6.99 ,0,127
Brand F,TOMATO JUICE,"2,599",$2.75 ,"1,889","1,140"
Brand C,REMAINING FLAVOR,216,$7.99 ,0,90
Brand C,CHERRY,859,$7.97 ,33,363.0
Brand C,REMAINING FLAVOR,404,$7.74 ,0,130
Brand A,MANGO,48,$10.30 ,0,42
Brand E,CHERRY,"2,786",$5.68 ,850,"1,345"
Brand A,BLUEBERRY,763,$7.50 ,513,491
Brand A,PRUNE,"11,796",$8.40 ,406,"4,824"
Brand A,REMAINING FLAVOR,195,$7.15 ,0,99.0
Brand L,REMAINING FLAVOR,21,$4.32 ,0,13
Brand A,REMAINING FLAVOR,"2,623",$4.39 ,967,"1,143"
Brand A,CRANBERRY BLEND,0,,0,
Brand C,ORANGE BLEND,988,$8.41 ,75,640
Brand A,BERRY POMEGRANATE,679,$4.54 ,667,259.0
Brand A,GRAPEFRUIT,1,$6.69 ,0,1
Brand L,REMAINING FLAVOR,56,$4.99 ,0,19
Brand M,REMAINING FLAVOR,9,$5.29 ,9,3
Brand C,PINEAPPLE,26,$3.98 ,3,7
Brand C,REMAINING FLAVOR,"2,045",$7.43 ,264,619
Brand C,REMAINING FLAVOR,322,$7.75 ,0,120
Brand D,CHERRY,138,$5.58 ,0,40
Brand C,REMAINING FLAVOR,531,$9.03 ,0,145
Brand C,REMAINING FLAVOR,266,$7.48 ,25,113
Brand L,PEACH,48,$5.70 ,0,29
Brand C,POMEGRANATE,148,$12.01 ,113,71
Brand A,GRAPEFRUIT,6,$5.49 ,0,3
Brand L,REMAINING FLAVOR,"1,199",$5.69 ,115,413
Brand D,CHERRY,"1,235",$6.51 ,837,514
Brand C,CHERRY,"3,525",$11.50 ,0,504
Brand C,BLUEBERRY,0,,0,
Brand A,REMAINING FLAVOR,14,$4.98 ,0,14
Brand C,REMAINING FLAVOR,"1,024",$6.46 ,45,575
Brand A,BLUEBERRY,1,$7.49 ,0,1
Brand C,PINEAPPLE,65,$4.98 ,0,22
Brand A,GRAPE,2,$5.49 ,0,1
Brand A,BERRY POMEGRANATE,0,,0,
Brand A,REMAINING FLAVOR,"8,106",$6.71 ,"2,193","4,087"
Brand A,REMAINING FLAVOR,175,$9.48 ,6,87
Brand D,CHERRY,6,$5.71 ,0,6
Brand A,GRAPEFRUIT,701,$6.16 ,17,450
Brand H,ORANGE BLEND,35,$5.17 ,0,14
Brand I,POMEGRANATE,39,$8.58 ,10,27
Brand A,CRANBERRY,363,$11.81 ,238,175
Brand A,REMAINING FLAVOR,"1,243",$7.84 ,174,679
Brand A,REMAINING FLAVOR,960,$5.31 ,65,554
Brand A,CRANBERRY BLEND,52,$1.51 ,0,18
Brand A,GRAPE,"13,850",$6.82 ,"4,880","5,437"
Brand A,CHERRY,369,$7.27 ,9,200.0
Brand J,CRANBERRY,"1,337",$5.44 ,0,344
Brand A,BERRY POMEGRANATE,267,$4.49 ,267,95
Brand A,ORANGE BLEND,3,$6.26 ,0,2
Brand A,POMEGRANATE,111,$8.77 ,0,65
Brand A,REMAINING FLAVOR,"2,392",$6.20 ,8,864
Brand L,REMAINING FLAVOR,"1,504",$5.09 ,172,610
Brand F,CRANBERRY BLEND,"1,657",$5.68 ,179,909
Brand A,MANGO,0,,0,
Brand C,CRANBERRY,"2,555",$11.38 ,124,493.0
Brand A,REMAINING FLAVOR,464,$4.59 ,0,347
Brand E,CRANBERRY,294,$6.11 ,35,97
Brand A,CRANBERRY BLEND,833,$6.31 ,0,503
Brand D,CHERRY,148,$5.57 ,0,38
Brand D,CHERRY,0,,0,
Brand E,CHERRY,"1,128",$6.54 ,355,653
Brand A,REMAINING FLAVOR,90,$1.47 ,0,30
Brand I,REMAINING FLAVOR,"2,623",$5.06 ,"2,623",921
Brand J,GRAPEFRUIT,106,$5.44 ,0,47
Brand I,REMAINING FLAVOR,88,$8.40 ,0,56
Brand A,TROPICAL,7,$2.29 ,0,1
Brand I,REMAINING FLAVOR,36,$7.69 ,0,27
Brand C,CHERRY,"3,783",$11.31 ,113,501.0
Brand I,POMEGRANATE,0,,0,
Brand C,CHERRY,70,$7.71 ,70,20
Brand L,REMAINING FLAVOR,"1,673",$4.99 ,126,721
Brand C,POMEGRANATE,3,$9.99 ,0,2
Brand C,CRANBERRY,151,$11.37 ,0,70
Brand A,REMAINING FLAVOR,20,$5.99 ,0,8
Brand A,CHERRY,17,$7.66 ,0,7
Brand A,GRAPEFRUIT,"4,426",$7.14 ,189,"2,269"
Brand K,GREEN BLEND,203,$7.99 ,80,105.0
Brand C,CHERRY,670,$9.52 ,0,201
Brand A,ORANGE BLEND,6,$6.59 ,0,4
Brand H,FRUIT PUNCH,128,$6.13 ,5,91.0
Brand A,TOMATO JUICE,31,$6.31 ,0,14
Brand C,ORANGE BLEND,85,$6.90 ,61,39
Brand A,CHERRY,103,$8.76 ,86,69
Brand D,CHERRY,10,$3.99 ,0,6
Brand A,GRAPEFRUIT,0,,0,
Brand A,GRAPE,157,$7.20 ,102,80
Brand A,REMAINING FLAVOR,4,$3.79 ,0,1
Brand A,REMAINING FLAVOR,81,$4.08 ,81,34
Brand E,CHERRY,214,$7.02 ,129,73
Brand A,PINEAPPLE,228,$5.90 ,0,94
Brand A,REMAINING FLAVOR,51,$7.99 ,0,28
Brand D,CHERRY,432,$6.89 ,259,247
Brand A,REMAINING FLAVOR,297,$3.45 ,297,92
Brand C,PRUNE,686,$9.16 ,24,475
Brand A,CRANBERRY,"8,966",$10.41 ,"4,266","4,010"
Brand A,POMEGRANATE,439,$9.25 ,414,285
Brand A,REMAINING FLAVOR,239,$5.99 ,0,89
Brand A,CRANBERRY,466,$6.99 ,466,125
Brand A,REMAINING FLAVOR,"2,074",$7.90 ,461,"1,177"
Brand C,ORANGE,37,$7.29 ,0,21
Brand H,GRAPEFRUIT,70,$2.82 ,0,48
Brand J,CRANBERRY,"1,629",$5.37 ,104,325
Brand A,REMAINING FLAVOR,296,$7.74 ,0,142
Brand C,REMAINING FLAVOR,12,$7.99 ,0,3
Brand D,CHERRY,510,$6.46 ,0,296
Brand F,PRUNE,6,$6.23 ,0,5
Brand A,BLUEBERRY,0,,0,
Brand C,REMAINING FLAVOR,189,$9.47 ,0,78
Brand F,CHERRY,"7,159",$5.07 ,563,"1,817"
Brand C,CARROT,749,$8.47 ,79,508
Brand F,CHERRY,"3,437",$5.36 ,960,"1,384"
Brand K,CHERRY,102,$7.99 ,0,58.0
Brand A,GRAPE,0,,0,
Brand C,CRANBERRY,199,$10.99 ,0,65
Brand L,REMAINING FLAVOR,827,$5.58 ,19,363.0
Brand C,PRUNE,"2,317",$7.98 ,"1,007",982
Brand C,REMAINING FLAVOR,208,$8.26 ,191,99.0
